,ord_in_thread,author,published,title,tekst,language,crawled,site_url,country,domain_rank,thread_title,spam_score,main_img_url,replies_count,participants_count,likes,comments,shares,type
11,,NA,23/06/2017,Did Goldie just reveal who Banksy is?,NA,englsih,24/06/2017 12:22,http://www.bbc.com/news/entertainment-arts-40379603,UK,104,Did Goldie just reveal who Banksy is?,0,https://ichef-1.bbci.co.uk/news/660/cpsprodpb/1928/production/_96604460_banksy-comp.jpg,0,0,0,0,0,entertainment
12,,Oliver Wainwright,23/06/2017,I wanted the building to fly': Renzo Piano's Santander gallery opens,NA,english,24/06/2017 13:25,https://www.theguardian.com/world/2017/jun/23/renzo-piano-santander-spain-art-gallery-opens,US,139,I wanted the building to fly': Renzo Piano's Santander gallery opens,0,https://i.guim.co.uk/img/media/a3f88b059283ddb3a1ba494fdefc952c6cad9562/33_0_6921_4152/master/6921.jpg?w=860&q=20&auto=format&usm=12&fit=max&dpr=2&s=d06bd38c7716278b6c39df214d946061,0,0,0,0,0,politics
13,,Mark Savage,24/06/2017,"Radiohead mesmerise fans at Glastonbury with a wayward, but compelling, set",NA,english,24/06/2017 13:29,http://www.bbc.com/news/entertainment-arts-40389552,UK,104,"Radiohead mesmerise fans at Glastonbury with a wayward, but compelling, set",0,https://ichef.bbci.co.uk/news/660/cpsprodpb/165E6/production/_96622619_gettyimages-800186400.jpg,0,0,0,0,0,entertainment
14,, Cherry Wilson,24/06/2017,Cladding fire tests failed by 27 high-rise blocks,NA,english,24/06/2017 13:46,http://www.bbc.com/news/uk-40391395,UK,104,Cladding fire tests failed by 27 high-rise blocks,0,https://ichef-1.bbci.co.uk/news/624/cpsprodpb/15344/production/_96625868_image1.jpg,0,0,0,0,0,news
15,,Andrea Leadsom,23/06/2017,Andrea Leadsom's call for 'patrotic' Brexit coverage prompts anger,NA,english,24/06/2017 13:50,https://www.theguardian.com/politics/2017/jun/24/andrea-leadsom-patriotic-brexit-coverage-newsnight-eu-negotiations,US,139,Andrea Leadsom's call for 'patrotic' Brexit coverage prompts anger,0,,0,0,0,0,0,news
16,,Jason Szep,23/06/2017,"Exclusive: Overruling diplomats, U.S. to drop Iraq, Myanmar from child soldiers' list",NA,english,24/06/2017 14:02,http://www.reuters.com/article/us-usa-trafficking-childsoldiers-exclusi-idUSKBN19E2JY,US,493,"Exclusive: Overruling diplomats, U.S. to drop Iraq, Myanmar from child soldiers' list",0,,0,0,0,0,0,
17,,Tulip Mazumdar,22/06/2017,Ebola virus burial teams may have 'saved thousands of lives',NA,english,24/06/2017 14:02,http://www.bbc.com/news/health-40375693,UK,104,Ebola virus burial teams may have 'saved thousands of lives',0,https://ichef.bbci.co.uk/news/624/cpsprodpb/F42E/production/_96601526_971f55b6-5a52-4660-9da1-61e811c6be61.jpg,0,0,0,0,0,health
18,,Simon Briggs,23/06/2017,Dan Evans' career under threat after positive cocaine test,NA,english,24/06/2017 14:02,http://www.telegraph.co.uk/tennis/2017/06/23/dan-evans-tests-positive-cocaine/,UK,351,Dan Evans' career under threat after positive cocaine test,0,http://www.telegraph.co.uk/content/dam/tennis/2017/06/23/TELEMMGLPICT000131827125-large_trans_NvBQzQNjv4Bqwa5Jnl6ZbmW0SCmJ33EhWHF2mUt3o48ZoSrBMfikidY.jpeg,0,0,0,0,0,sports
19,,Shehab Khan ,24/06/2017,Grenfell Tower: Dozens of angry residents refuse to leave Camden estate evacuated over fire fears,NA,english,24/06/2017 14:02,http://www.independent.co.uk/news/uk/home-news/grenfell-tower-camden-estate-evacuation-chalcots-estate-refuse-a7805946.html,UK,380,"Camden Council leader, Georgia Gould, says firefighters 'could not guarantee our residents' safety'",0,https://static.independent.co.uk/s3fs-public/styles/story_large/public/thumbnails/image/2017/06/24/09/camden-evacuation.jpg,0,0,0,0,0,news
20,,Ben Chu,23/06/2017,Brexit: The economic and business cost to Britain one year after the vote,NA,english,24/06/2017 14:02,http://www.independent.co.uk/news/business/news/brexit-latest-news-business-economic-costs-banks-one-year-vote-anniversary-eu-exit-a7802596.html,UK,380,"Twelve months on from the shock result, what has been the impact on UK GDP, on finance, on manufacturers, on exporters?",0,https://static.independent.co.uk/s3fs-public/styles/story_large/public/thumbnails/image/2017/02/01/17/right-wing.jpg,0,0,0,0,0,business
21,,Tom Erging,24/06/2017,Arconic knowingly supplied flammable panels for use in London tower: emails,NA,english,24/06/2017 14:11,http://www.reuters.com/article/us-britain-fire-arconic-idUSKBN19F05M,US,493,Arconic knowingly supplied flammable panels for use in London tower: emails,0,https://s1.reutersmedia.net/resources/r/?m=02&d=20170624&t=2&i=1190327566&w=780&fh=&fw=&ll=&pl=&sq=&r=LYNXMPED5N04A,0,0,0,0,0,news
22,,Chris Stocks,23/06/2017,South Africa dramatically level T20 series with nail-biting three-run win over England at Taunton,NA,english,24/06/2017 14:11,http://www.independent.co.uk/sport/cricket/south-africa-beat-england-twenty20-series-three-run-win-a7805811.html,UK,380,"Chasing 175, England looked on course thanks to a stand of 110 between Jason Roy and Jonny Bairstow. But momentum swung and South Africa held their nerve to win",0,https://static.independent.co.uk/s3fs-public/styles/story_large/public/thumbnails/image/2017/06/23/20/south-africa-cele.jpg,0,0,0,0,0,sports
23,,Clarisse Loughrey,15/06/2017,Elder scrolls online: Morrowind review: the force awakens of gaming,NA,english,24/06/2017 14:11,http://www.independent.co.uk/life-style/gadgets-and-tech/gaming/elder-scrolls-online-morrowind-review-2017-ps4-pc-xbox-one-release-mmo-expansion-a7792001.html,UK,380,Elder scrolls online: Morrowind review: the force awakens of gaming,0,https://static.independent.co.uk/s3fs-public/styles/readmore_card/public/thumbnails/image/2017/06/05/14/prey-2017.jpg,0,0,0,0,0,gaming
24,,Jason Laughlin,22/06/2017,SEPTA approves express bus for Roosevelt Boulevard,NA,english,24/06/2017 14:11,http://www.philly.com/philly/business/transportation/septa-approves-express-bus-for-roosevelt-boulevard-20170622.html,US,"6,024",SEPTA approves express bus for Roosevelt Boulevard,0,http://media.philly.com/images/1200*800/dixon-45014-f-wp-content-uploads-2017-06-649246_1fed4310241259f-1200x800.jpg,0,0,0,0,0,local
25,,Jeff Mason,24/06/2017,Trump reaches out to lawmakers on healthcare as another says 'no',NA,english,24/06/2017 14:19,http://www.reuters.com/article/us-usa-healthcare-idUSKBN19E1DB,US,493,Trump reaches out to lawmakers on healthcare as another says 'no',0,https://s4.reutersmedia.net/resources/r/?m=02&d=20170623&t=2&i=1190246398&w=&fh=&fw=&ll=780&pl=468&sq=&r=LYNXMPED5M0QW,0,0,0,0,0,news
26,,Andy Martin,24/06/2017,"The Millennium series is a 'franchise' – a drive-through book, with extra fries",NA,english,24/06/2017 14:02,http://www.independent.co.uk/news/long_reads/the-millennium-series-is-a-franchise-a-drive-through-book-with-extra-fries-a7801451.html,UK,380,"David Lagercrantz dreams of writing the perfect literary novel, a new Anna Karenina, but feels he is slumming it. Yet popular often means very good. Andy Martin reports",0,https://static.independent.co.uk/s3fs-public/styles/story_large/public/thumbnails/image/2017/06/21/18/sean-connery.jpg,0,0,0,0,0,news
27,,Sui Lee Wee,23/06/2017,Shares in Chinese companies plunge as regulator warns of 'systemic risks' to biggest banks,NA,english,24/06/2017 14:02,http://www.independent.co.uk/news/business/news/china-bank-regulator-company-shares-plunge-systemic-risks-fosun-dalian-wanda-a7803996.html,UK,380,"Analysts have expressed concern about the rapid expansion of China’s credit, warning that the country could face serious risk if it does not toughen measures to control its debt-fuelled binge",0,https://static.independent.co.uk/s3fs-public/styles/story_large/public/thumbnails/image/2017/06/23/07/china.gif,0,0,0,0,0,business
28,,Luke Brown,23/06/2017,Dan Evans tests positive for cocaine: British No 3 announces he failed a drugs test in April,NA,english,24/06/2017 14:02,http://www.independent.co.uk/sport/tennis/dan-evans-drugs-cocaine-failed-test-lta-wimbledon-a7805501.html,UK,380,"The World No 50, who reached the fourth round of the Australian Open this year, now faces a lengthy ban after testing positive for the recreational drug cocaine on April 24",0,https://static.independent.co.uk/s3fs-public/styles/story_large/public/thumbnails/image/2017/06/23/17/evans-drug-test-fail.jpg,0,0,0,0,0,sports
29,,Janet Street-Porter,23/06/2017,"Prince Harry needs to give up his right to the throne, right now he sounds like a reality TV star",NA,englsih,24/06/2017 14:02,http://www.independent.co.uk/voices/right-now-prince-harry-sounds-like-a-reality-tv-star-a7805051.html,UK,380,"Prince Harry needs to give up his right to the throne, right now he sounds like a reality TV star",0,https://static.independent.co.uk/s3fs-public/styles/story_large/public/thumbnails/image/2016/11/08/18/prince-harry.jpg,0,0,0,0,0,politics
30,,Arjun Alim,23/06/2017,UK centrists who want to emulate Emmanuel Macron do not have far to look,NA,english,24/06/2017 14:11,http://www.independent.co.uk/news/world/europe/emmanuel-macron-london-en-marche-uk-french-election-2017-presidential-a7805521.html,UK,380,En Marche's UK operation successfully targeted French expats in London through new ideas and intelligent tactics,0,https://static.independent.co.uk/s3fs-public/styles/story_large/public/thumbnails/image/2017/06/23/17/theresa-may-emmanuel-macron.jpg,0,0,0,0,0,politics
31,,Ian Johnston,23/06/2017,Hundreds of English rivers drained below sustainable levels despite looming drought crisis,NA,english,24/06/2017 14:11,http://www.independent.co.uk/environment/england-drought-rivers-water-drained-removed-farms-homes-threat-farming-a7805156.html,UK,380,Hundreds of English rivers drained below sustainable levels despite looming drought crisis,0,https://static.independent.co.uk/s3fs-public/styles/story_large/public/thumbnails/image/2017/06/23/14/riverquin.jpg,0,0,0,0,0,news
32,,Ian Johnston,23/06/2017,National Audit Office slams Government’s ‘high cost and risky deal’ for Hinkley Point nuclear power station,NA,english,24/06/2017 14:11,http://www.independent.co.uk/news/uk/politics/hinkley-point-nuclear-power-national-audit-office-slams-government-high-cost-risky-deal-a7803446.html,UK,380,National Audit Office slams Government’s ‘high cost and risky deal’ for Hinkley Point nuclear power station,0,https://static.independent.co.uk/s3fs-public/styles/story_large/public/thumbnails/image/2016/06/28/19/hinkley-point_.jpg,0,0,0,0,0,news
33,,Joe Watts,23/06/2017,Brexit: Labour MPs back ex-Tory minister in key post to block arch-Leaver Jacob Rees Mogg,NA,english,24/06/2017 14:11,http://www.independent.co.uk/news/uk/politics/brexit-latest-nicky-morgan-jacob-rees-mogg-labour-treasury-select-committee-a7806131.html,UK,380,Brexit: Labour MPs back ex-Tory minister in key post to block arch-Leaver Jacob Rees Mogg,0,https://static.independent.co.uk/s3fs-public/styles/story_large/public/thumbnails/image/2017/06/24/12/gettyimages-511396524.jpg,0,0,0,0,0,news
34,,NA,24/06/2017,Simon Cowell's Grenfell single tops UK chart,NA,english,24/06/2017 14:02,http://www.bbc.com/news/entertainment-arts-40381450,UK,104,Simon Cowell's Grenfell single tops UK chart,0,https://ichef.bbci.co.uk/news/660/cpsprodpb/003C/production/_96606000_rita-kelly-stormzy.jpg,0,0,0,0,0,news
35,,Andrew Sullivan,23/06/2017,The Perverse Presidency of Donald Trump,NA,english,24/06/2017 14:02,http://nymag.com/daily/intelligencer/2017/06/andrew-sullivan-the-perverse-presidency-of-donald-trump.html,US,"1,945",The Perverse Presidency of Donald Trump,0,https://pixel.nymag.com/imgs/daily/intelligencer/2017/06/22/22-donadl-trump-1.w710.h473.2x.jpg,0,0,0,0,0,politics
36,,NA,23/06/2017,"Vladimir Putin gave direct instructions to help elect Trump, report says",NA,english,24/06/2017 14:02,http://www.cbsnews.com/news/vladimir-putin-gave-direct-instructions-help-elect-donald-trump-report/,US,982,"Vladimir Putin gave direct instructions to help elect Trump, report says",0,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQX2t5lybISan-29RJWFzv3tIfkinJ1MT-cyO1fray7ReSVd-Z-x0GvSTlLU4KJruUNWmOX0SM,0,0,0,0,0,politics
37,,NA,24/06/2017,China landslide leaves at least 140 missing in Sichuan,NA,english,24/06/2017 14:02,http://www.bbc.com/news/world-asia-china-40390642,UK,104,China landslide leaves at least 140 missing in Sichuan,0,https://ichef-1.bbci.co.uk/news/624/cpsprodpb/7DF2/production/_96624223_quake.jpg,0,0,0,0,0,news
38,,NA,24/06/2017,Snowdonia rainwater used for hydro energy scheme,NA,english,24/06/2017 14:11,http://www.bbc.com/news/uk-wales-north-west-wales-40386070,UK,104,Snowdonia rainwater used for hydro energy scheme,0,https://ichef.bbci.co.uk/news/660/cpsprodpb/152B7/production/_96611768_008188_066ccbb5.jpg,0,0,0,0,0,news
